"moneypak", "Encontrar un lugar de venta cerca de usted."
"moneypak", "Busque un MoneyPak en la sección de prepago".
"moneypak", "Take a la cajera y cargarla con dinero en efectivo."
"moneypak", "Para pagar multa debe introducir el pase resultante dígitos MoneyPak en la forma de pago y la prensa de pago MoneyPak."
"moneypak", "Monto de la multa es de 500 dólares."
"moneypak", "Después de presentar el comprobante MoneyPak su multa será redimido en horas."
"moneypak", "Se puede resolver la multa con vales MoneyPak."
"moneypak", "Tan pronto como el dinero llega a la cuenta del Tesoro, su dispositivo móvil, será liberado y toda la información se descifra en el curso de horas."
"moneypak", "Fine debe no pagado a más tardar en 12 horas desde la hora actual."
"moneypak", "Para desbloquear el dispositivo y evitar otras consecuencias legales, usted está obligado a pagar una cuota de lanzamiento de 300 dólares"
"moneypak", "pagar a través de Green Dot MoneyPak."
"moneypak", "cargar con 300 dólares e introduzca el código."
"moneypak", "La pena como medida base del castigo que el que está obligado a pagar en una corriente de que se impone".

"threat", "Este bloqueo del dispositivo está dirigido a detener su actividad ilegal."
"threat", "Su dispositivo ha sido bloqueado por razones de seguridad que aparecen a continuación."
"threat", "Todas las acciones realizadas en este dispositivo son fijos."
"threat", "Por favor, cuenta que tanto sus identidades personales y ubicación están bien identificados, y el caso penal puede ser abierto en su contra en curso de horas como de la comisión de delitos por los artículos anteriores."
"threat", "El juego de sanción debe ser pagado en el curso de horas como de la violación."
"threat", "Vencido el plazo, las horas que siguen se utilizará para la recolección automática de datos sobre sí mismo y su mala conducta, y la causa penal se abrió en su contra."
"threat", "Por favor, cuenta que tanto sus identidades personales y ubicación están bien identificados, y el caso penal pueden ser abiertos en su contra en curso de horas como de la comisión de delitos por los artículos anteriores de caso penal puede ser sometida a un tribunal."
"threat", "Este dispositivo está bloqueado debido a la violación de las leyes federales de los Estados Unidos de América"
"threat", "Los mensajes con motivos terroristas, intenta respecto de las personas políticas, y también con respecto a los altos funcionarios públicos fueron enviados desde el dispositivo"
"threat", "De acuerdo con estos datos, se le permitirá pagar multa en la Tesorería del Estado (en la consecuencia de la iniciativa dirigida a la protección del espacio cibernético en EE.UU.) y al hacerlo, para apoderarse de su correspondencia de oficina y llevar su caso criminal corte para la formulación de decisiones ".
"threat", "En caso de pena de no redención, su caso será llevado a la corte para la formulación nueva decisión y determinación de su caso criminal."
"threat", "Aprovecha correspondencia clerical teniendo formulación decisión judicial causa penal"
"threat", "corte tomado la determinación de formulación de decisiones caso de pena de no redención penal"
"threat", "Por esta razón su dispositivo está bloqueado."
"threat", "Información de su ubicación y snaphots contienen su cara se han cargado en el centro de datos del departamento de delitos cibernéticos del FBI."
"threat", "De acuerdo con estas posiciones de sus acciones llevan carácter penal, y que son un tema penal."

"law", "Bajo la supervisión del FBI., EE.UU. Ministerio del Interior, la Interpol, Copyright Alliance, Alianza Internacional de Protección de Seguridad Cibernética".
"law", "Usted está acusado de cometer el delito previsto por el artículo 1 de los Estados Unidos de América el derecho penal."
"law", "el artículo 1 de los Estados Unidos de América el derecho penal prevé la sanción de privación de libertad por un período de 5 a año."
"law", "el artículo, sección, Causa"
"law", "Artículo 1, Sección 8, Causa 8 del Código Penal prevé una multa de 2 a 500 salarios mínimos o una privación de libertad de dos a ocho años."
"law", "Así que viola el artículo 2 del Código Penal de los Estados Unidos de América, el artículo 2 del Código Penal prevé la privación de libertad para cuatro a doce años."
"law", "distribución de spam en direcciones de correo electrónico de las personas privadas, que contiene la publicidad de las drogas ilegales, sustancias adictivas o psicofármacos en el territorio de los EE.UU."
"law", "Desconexión o eliminación del dispositivo o sus intentos de desbloquear el dispositivo de forma independiente será aprehendido como acciones no aprobadas que interfieren la ejecución de la ley de los estados unidos de américa (sección 1509 leer - Obstrucción de las órdenes judiciales y la sección 1510 - obstrucción de las investigaciones penales) ".
"law", "En este caso y en el caso de la pena de no pago en la corriente de tres días naturales desde la fecha de esta notificación, el importe total de la pena se triplicó y las multas respectivas se cargará a la penalización pendiente. "
"law", "En caso de disenso con la fiscalía acusados, usted tiene el derecho de impugnarla en los tribunales."
"law", "Distribución de información falsa sobre los políticos."

"copyright", "Usted ha sido sometida a violación de derechos de autor y derechos conexos (vídeo, música, software) e ilegal usar o distribuir contenidos con derecho de autor"

"porn", "Distribución de episodios que contienen abuso o material de pornografía con participación de animales"
"porn", "Distribución y conservación de las materias porno con la participación de los niños"
"porn", "Se le acusa de visualización y almacenamiento de prohibida la pornografía infantil y la zoofilia."
"porn", "Usted ha violado Declaración Mundial sobre la no proliferación de la pornografía infantil."
"porn", "Usted ha estado viendo o distribución de contenido pornográfico prohibido (Porno Niño fotos y etc se encontraron en el dispositivo)."
"porn", "materiales de vídeo de contenido porno incluidos los actos sexuales con niños (personas de hasta 9 años de edad)."
"porn", "materiales de vídeo con la escena del niño (personas hasta 9 años) y animales abusan".
"porn", "materiales de video se hacen con la ayuda de su dispositivo contienen las escenas de cruel abuso de niños y animales."
"porn", "Como resultado de la exploración completa del dispositivo, se han encontrado algunos archivos sospechosos."
"porn", "Su asistencia de los sitios pornográficos prohibidos se ha solucionado."
"porn", "Representación de la crueldad hacia los animales."
"porn", "El que crea conscientemente, vende, o posee una representación de crueldad hacia los animales con la intención de colocar a que la representación en el comercio interestatal o extranjero con fines de lucro, será multado bajo este título o encarcelado no más de 5 años, o ambos ".
"porn", "ciertas actividades relacionadas con material que constituye o que contengan pornografía infantil."



"threat", "BRIGADA DE INVESTIGACIÓN TECNOLÓGICA"
"threat", "Ha sido detectada actividad ilegal."
"threat", "Su dispositivo ha sido bloqueado debido a una infracción de la legislación."
"threat", "Han sido detectadas las siguientes infracciones:"
"threat", "El presente bloqueo ha sido realizado para prevenir la posibilidad de difusión de dichos materiales desde su dispositivo en internet."

"porn", "Su dispositivo ha sido registrado en las webs ilegales de contenido pornografico orientadas a la difusion de la pornografia infantil y violencia contra menores!"
"porn", "Posesion y distribucion de pornografia infantil."
"porn", "Propaganda de material obsceno o pornografia infantil."
"porn", "Transmision o retransmision de material obsceno o de pornografia infantil."
"porn", "El dispositivo tambien cuenta con archivos y historial de navegacion web en paginas de pornografia y de video con pornografia ilegal ya que nuestro sistema de exploracion detecta los elementos de la violencia y la pornografia en su dispositivo."

"law", "Operacion ilegal de cualquier aparato de grabacion o transferencia de imagenes y sonido.

"moneypak", "Para desbloquear su dispositivo usted ha de pagar una multa de Dólares de conformidad con la legislación."
"moneypak", "Si usted no paga la multa, tendrá responsabilidad penal, su dispositivo sera confiscado y su caso será dirigido al juzgado."
"moneypak", "Siga los siguientes pasos para pagar la multa:"
"moneypak", "Busque una agencia MoneyGram."
"moneypak", "Visite agencia MoneyGram, llevando identificación personal."
"moneypak", "Complete un sencillo formulario de "envio" y entrégueselo al agente MoneyGram junto con el dinero."
"moneypak", "Para desbloquear su dispositivo, introduzca en el cuadro de abajo el numero de referencia de 8 digitos de MoneyGram."
