"moneypak", "Find a retail location near you."
"moneypak", "Look for a MoneyPak in the prepaid section."
"moneypak", "Take it to the cashier and load it with cash."
"moneypak", "To pay fine you should enter the digits MoneyPak resulting pass in the payment form and press Pay MoneyPak."
"moneypak", "Amount of fine is 500 dollars."
"moneypak", "After submitting the MoneyPak voucher your fine will be redeemed in  hours."
"moneypak", "You can settle the fine with MoneyPak vouchers."
"moneypak", "As soon as the money arrives to the Treasury account, your Mobile Device will be unlocked and all information will be decrypted in course of  hours."
"moneypak", "Fine should be paid not later than in 12 hours since current time."
"moneypak", "To unlock your device and to avoid other legal consequences , you are obligated to pay a release fee of 300 dollars"
"moneypak", "Payable through GreenDot MoneyPak."
"moneypak", "load it with 300 dollars and enter the code."
"moneypak", "load it with $500 and enter the code."
"moneypak", "The penalty as a base measure of punishment on you which you are obliged to pay in a current of is imposed."
"moneypak", "Payment must be made through realoadit"
"moneypak", "As soon as the money is paid to the U.S. Department of the Treasury, your device will be unblocked in  hours"
"moneypak", "To unblock your device and avoid U.S. legal persecution, you are obligated to pay a fine of $200"

"threat", "To unlock your device and to avoid other legal consequences , you are obligated to pay a release fee of $500"
"threat", "This device lock is aimed to stop your illegal activity."
"threat", "Your Device has been blocked up for safety reasons listed below."
"threat", "All the actions performed on this device are fixed."
"threat", "Please, mind that both your personal identities and location are well identified, and criminal case can be opened against you in course of  hours as of commission of crimes per above Articles."
"threat", "The penalty set must be paid in course of  hours as of the breach."
"threat", "On expiration of the term,  hours that follow will be used for automatic collection of data on yourself and your misconduct, and criminal case will be opened against you."
"threat", "Please, mind that both your personal identities and location are well identified, and criminal case can be opened against you in course of  hours as of commission of crimes per above Articles Criminal case can be submitted to court."
"threat", "This device is locked due to the violation of the federal laws of the United States of America"
"threat", "The messages with terroristic motives, attempts in respect of political persons, and also in respect of top public officials were sent from your device"
"threat", "Your device also contains elements of violence"
"threat", "According to these data, you will be permitted to pay fine in State Treasury (in the consequence of initiative directed on protection of cyber space in U.S.A) and in doing so to seize your clerical correspondence and taking your criminal case to court for decision formulation."
"threat", "In case of penalty non-redemption, your case will be taken to court for the further decision formulation and determination of your criminal case."
"threat", "Seize clerical correspondence taking criminal case court decision formulation"
"threat", "Penalty non redemption case taken court decision formulation determination criminal"
"threat", "For this reason your device has been locked."
"threat", "Information on your location and snaphots containing your face have been uploaded on the fbi cyber crime department's datacenter."
"threat", "According to these positions your actions bear criminal character, and you are a criminal subject."
"threat", "Anti-government slogans and statements were also sent from your device"

"law", "Your device is locked due to the violation of the federal laws of the United States of America: article 161, article 148, article 215, article 301 of the Criminal Code of U.S.A."
"law", "Under supervision of FBI., U.S.A. Ministry of Interior, Interpol, Copyright Alliance, International Cyber Security Protection Alliance."
"law", "You are accused of committing the crime envisaged by Article 1 of United States of America criminal law."
"law", "Article 1 of United States of America criminal law provides for the punishment of deprivation of liberty for terms from 5 to  years."
"law", "Article, Section, Cause"
"law", "Article 1, Section 8, Cause 8 of the Criminal Code provides for a fine of two to five hundred minimal wages or a deprivation of liberty for two to eight years."
"law", "Thus violating article 2 of the Criminal Code of United States of America, Article 2 of the Criminal Code provides for a deprivation of liberty for four to twelve years."
"law", "Spam distribution on e-mail addresses of private persons, containing the advertisement of illegal drugs, addictive substances or psychopharmaceuticals on the territory of the USA"
"law", "Disconnection or disposal of the device or your attempts to unlock the device independently will be apprehended as unapproved actions interfering the execution of the law of the united states of america (read section 1509 - obstruction of court orders and section 1510 - obstruction of criminal investigations)."
"law", "In this case and in case of penalty non-payment in a current of three calendar days from the date of this notification, the total amount of penalty will be tripled and the respective fines will be charged to the outstanding penalty."
"law", "In case of dissent with the indicted prosecution, you have the right to challenge it in court."
"law", "Distribution of false information about politicians."

"copyright", "You have been subjected to violation of Copyright and Related Rights Law (Video, Music, Software) and illegally using or distributing copyrighted contents"

"porn", "Following violations were detected: child pornography, zoophilia pornography"
"porn", "Distribution of episodes containing abuse or porn material with participation of animals"
"porn", "Distribution and keeping of porn material with participation of children"
"porn", "You are accused of viewing and storage of forbidden child pornography and zoophilia."
"porn", "You have violated World Declaration on non-proliferation of child pornography."
"porn", "You have been viewing or distributing prohibited Pornographic content (Child Porno photos and etc were found on your device)."
"porn", "Video materials of porn content including sexual acts with children (persons up to 9 years old)."
"porn", "Video materials containing the scene of child (persons up to 9 years) and animals abuse."
"porn", "Video materials are made with the help of your device contain the scenes of cruel child and animals abuse."
"porn", "As a result of full scanning of your device, some suspicious files have been found."
"porn", "Your attendance of the forbidden pornographic sites has been fixed."
"porn", "Depiction of animal cruelty."
"porn", "Whoever knowingly creates, sells, or possesses a depiction of animal cruelty with the intention of placing that depiction in interstate or foreign commerce for commercial gain, shall be fined under this title or imprisoned not more than 5 years, or both."
"porn", "Certain activities relating to material constituting or containing child pornography."
